FID,Latitude,Longitude,NAME,SUBSET,FEAT_TYPE,WATER,STATUS,Timemin
204,47.991251299999995,-122.367971, , , , , ,147.0
205,47.991251299999995,-122.207971, , , , , ,31.0
206,47.991251299999995,-122.197971, , , , , ,32.0
207,47.991251299999995,-122.18797099999999, , , , , ,32.0
208,47.991251299999995,-122.167971, , , , , ,42.0
209,47.991251299999995,-122.15797099999999, , , , , ,34.0
210,47.991251299999995,-122.147971, , , , , ,36.0
211,47.991251299999995,-122.137971, , , , , ,34.0
212,47.991251299999995,-122.127971, , , , , ,33.0
213,47.991251299999995,-122.117971, , , , , ,36.0
214,47.991251299999995,-122.10797099999999, , , , , ,37.0
215,47.991251299999995,-122.097971, , , , , ,38.0
216,47.991251299999995,-122.087971, , , , , ,38.0
217,47.991251299999995,-122.067971, , , , , ,41.0
218,47.991251299999995,-122.057971, , , , , ,45.0
219,47.991251299999995,-122.04797099999999, , , , , ,43.0
220,47.991251299999995,-122.037971, , , , , ,42.0
221,47.991251299999995,-122.027971, , , , , ,43.0
222,47.991251299999995,-122.017971, , , , , ,45.0
223,47.991251299999995,-122.007971, , , , , ,50.0
224,47.991251299999995,-121.99797099999999, , , , , ,47.0
225,47.991251299999995,-121.987971, , , , , ,53.0
226,47.991251299999995,-121.977971, , , , , ,53.0
227,47.991251299999995,-121.96797099999999, , , , , ,54.0
228,47.991251299999995,-121.957971, , , , , ,53.0
229,47.991251299999995,-121.947971, , , , , ,54.0
230,47.9812513,-122.537971, , , , , ,140.0
231,47.9812513,-122.527971, , , , , ,139.0
232,47.9812513,-122.517971, , , , , ,138.0
233,47.9812513,-122.457971, , , , , ,141.0
234,47.9812513,-122.447971, , , , , ,143.0
235,47.9812513,-122.43797099999999, , , , , ,144.0
236,47.9812513,-122.427971, , , , , ,145.0
237,47.9812513,-122.417971, , , , , ,143.0
238,47.9812513,-122.40797099999999, , , , , ,146.0
239,47.9812513,-122.397971, , , , , ,143.0
240,47.9812513,-122.387971, , , , , ,145.0
241,47.9812513,-122.377971, , , , , ,146.0
242,47.9812513,-122.367971, , , , , ,144.0
243,47.9812513,-122.35797099999999, , , , , ,145.0
244,47.9812513,-122.21797099999999, , , , , ,32.0
245,47.9812513,-122.207971, , , , , ,30.0
246,47.9812513,-122.197971, , , , , ,30.0
247,47.9812513,-122.18797099999999, , , , , ,29.0
248,47.9812513,-122.177971, , , , , ,32.0
249,47.9812513,-122.167971, , , , , ,39.0
250,47.9812513,-122.15797099999999, , , , , ,32.0
251,47.9812513,-122.147971, , , , , ,31.0
252,47.9812513,-122.137971, , , , , ,32.0
253,47.9812513,-122.127971, , , , , ,34.0
254,47.9812513,-122.117971, , , , , ,34.0
255,47.9812513,-122.10797099999999, , , , , ,35.0
256,47.9812513,-122.097971, , , , , ,37.0
257,47.9812513,-122.087971, , , , , ,37.0
258,47.9812513,-122.07797099999999, , , , , ,38.0
259,47.9812513,-122.067971, , , , , ,38.0
260,47.9812513,-122.057971, , , , , ,40.0
261,47.9812513,-122.04797099999999, , , , , ,41.0
262,47.9812513,-122.027971, , , , , ,46.0
263,47.9812513,-122.017971, , , , , ,45.0
264,47.9812513,-122.007971, , , , , ,47.0
265,47.9812513,-121.99797099999999, , , , , ,48.0
266,47.9812513,-121.987971, , , , , ,50.0
267,47.9812513,-121.977971, , , , , ,49.0
268,47.9812513,-121.96797099999999, , , , , ,53.0
269,47.9812513,-121.957971, , , , , ,52.0
270,47.9812513,-121.947971, , , , , ,54.0
271,47.9712513,-122.68797099999999, , , , , ,93.0
272,47.9712513,-122.54797099999999, , , , , ,143.0
273,47.9712513,-122.537971, , , , , ,142.0
274,47.9712513,-122.527971, , , , , ,140.0
275,47.9712513,-122.447971, , , , , ,143.0
276,47.9712513,-122.43797099999999, , , , , ,147.0
277,47.9712513,-122.427971, , , , , ,145.0
278,47.9712513,-122.417971, , , , , ,148.0
279,47.9712513,-122.40797099999999, , , , , ,146.0
280,47.9712513,-122.397971, , , , , ,144.0
